timestamp,visitorid,event,itemid,transactionid
1430622004384,155709,addtocart,40112,
1430622011289,81463,view,45717,
1430622013048,189776,view,48644,
1430622024154,200746,view,13917,
1430622026228,155709,view,40112,
1430622027031,24272,view,18964,
1430622028399,76210,view,40919,
1430622029427,155709,addtocart,40112,
1430622033686,85729,view,852,
1430622036210,45969,view,39176,
1430622038570,96712,view,8503,
1430622040988,89407,view,20250,
1430622042809,39516,view,36617,
1430622045993,85729,view,852,
1430622048174,45448,view,2367,
1430622049851,110129,view,13686,
1430622051805,57423,view,28729,
1430622054461,30877,view,47556,
1430622060191,181394,view,38810,
1430622060519,80600,view,654,
1430622067070,70285,view,29003,
1430622067992,186949,view,46010,
1430622072128,38856,view,32355,
1430622072265,119070,view,32046,
1430622074535,154361,view,30071,
1430622081464,120788,view,16483,
1430622085008,47691,addtocart,25288,
1430622085822,172305,view,4449,
1430622086481,119070,view,42751,
1430622087996,89407,view,39048,
1430622089299,103578,view,31424,
1430622093434,35,view,4180,
1430622102081,125952,view,4192,
1430622110079,186949,view,40075,
1430622115328,119070,view,32046,
1430622118534,125525,view,2274,
1430622120563,135478,view,27200,
1430622121282,14582,view,9193,
1430622122785,119070,view,18883,
1430622123207,205735,view,25439,
1430622124584,205887,view,222,
1430622126373,183620,view,37984,
1430622154349,164286,view,23843,
1430622154356,47691,view,44851,
1430622162554,156654,view,31986,
1430622164188,47691,view,37107,
1430622164204,48337,view,41304,
1430622165719,154916,view,40026,
1430622170009,83333,view,39048,
1430622172466,11039,view,10114,
1430622174958,121570,view,34653,
1430622175113,70219,view,48996,
1430622175333,169523,view,24383,
1430622177312,149418,view,9814,
1430622190806,174608,view,23460,
1430622191370,154361,view,1986,
1430622192088,165768,view,34476,
1430622200404,169131,view,38231,
1430622211082,149418,view,46780,
1430622211339,52596,view,13715,
1430622213575,90518,view,12781,
1430622214690,172305,view,4449,
1430622224128,125929,view,11312,
1430622226310,163793,view,37881,
1430622228083,63595,view,4875,
1430622231863,47691,view,34290,
1430622232317,84231,view,3118,
1430622232964,187858,view,28216,
1430622235154,129136,view,23242,
1430622240603,186949,addtocart,46010,
1430622250462,191062,view,43289,
1430622255159,122667,view,14257,
1430622255616,167101,view,9916,
1430622257275,171359,view,9052,
1430622260740,40070,view,8843,
1430622264068,124532,view,3128,
1430622268124,7532,view,13488,
1430622275972,46392,view,17872,
1430622276780,27214,view,6549,
1430622284504,79542,view,38722,
1430622289382,89407,view,20250,
1430622291213,191062,view,17306,
1430622292564,126073,view,16433,
1430622293584,201204,view,6876,
1430622306224,64815,view,483,
1430622309826,64815,view,21417,
1430622312158,47691,view,23261,
1430622325414,138705,view,24527,
1430622329427,128352,view,48941,
1430622330806,30877,view,45166,
1430622333233,119070,view,32046,
1430622334338,6335,view,360,
1430622334902,38344,view,29032,
1430622346583,56716,view,23615,
1430622348199,171904,view,23154,
1430622352193,79542,view,19166,
1430622352333,64815,view,483,
1430622352975,69651,view,14812,
1430622353478,94508,view,38278,
1430622356143,25604,view,14861,
1430622357498,90552,view,31594,
1430622363403,49185,view,26320,
1430622368425,56716,view,34310,
1430622380348,31773,view,17607,
1430622382877,196457,view,18768,
1430622387262,56716,view,23615,
1430622390098,192652,view,40556,
1430622391371,25604,view,30871,
1430622394546,26403,view,8504,
1430622397243,34545,view,9875,
1430622401437,181153,view,47057,
1430622408900,19221,view,38843,
1430622412300,89407,view,46696,
1430622417240,40242,view,39859,
1430622417642,70463,view,25422,
1430622418771,25604,view,14861,
1430622424690,55036,view,36874,
1430622424755,94163,view,2637,
1430622429503,27813,view,17646,
1430622430788,186949,view,46010,
1430622442032,11361,view,43025,
1430622442645,173389,view,521,
1430622443925,116398,view,1922,
1430622449563,145687,view,30532,
1430622453281,171904,view,32424,
1430622453640,156839,view,16917,
1430622456557,30877,view,13976,
1430622456730,116398,view,48324,
1430622459202,47691,view,7651,
1430622468715,39357,view,22271,
1430622469247,125525,view,2274,
1430622470576,73150,view,39422,
1430622472726,200637,view,33913,
1430622483298,127734,view,36701,
1430622485949,39357,view,47325,
1430622489762,140386,view,41389,
1430622499153,27813,view,10958,
1430622501044,139871,view,19560,
1430622501143,104583,view,25300,
1430622502854,158952,view,27229,
1430622509629,171904,view,41058,
1430622512002,158952,view,27229,
1430622533226,171904,view,10433,
1430622538057,190002,view,26079,
1430622554235,90211,view,9668,
1430622556063,23825,view,9053,
1430622566863,1216,view,45015,
1430622568107,119998,view,4220,
1430622575889,148336,view,13102,
1430622576387,9613,view,34431,
1430622581552,19528,view,33735,
1430622582820,86514,view,28873,
1430622591111,47691,view,37107,
1430622594795,200747,view,33225,
1430622597278,65962,view,31934,
1430622597950,171904,view,16603,
1430622602006,152674,addtocart,18377,
1430622606157,138620,view,5371,
1430622609378,48762,view,5377,
1430622609678,89407,view,687,
1430622618022,181679,view,43985,
1430622621858,9415,view,47667,
1430622631647,28742,view,43471,
1430622633418,106517,view,16461,
1430622633501,199828,view,10610,
1430622637770,167422,view,34067,
1430622653528,89407,view,15655,
1430622660829,175961,view,19872,
1430622672679,164286,view,23843,
1430622675954,118373,view,29884,
1430622682470,68729,view,21967,
1430622686086,204152,view,27809,
1430622686982,124359,view,10930,
1430622691834,12534,view,20796,
1430622693415,119998,addtocart,4220,
1430622700086,180830,view,14900,
1430622705783,129262,view,8137,
1430622706111,47691,view,23121,
1430622712829,122004,view,33261,
1430622715565,101010,view,23402,
1430622720871,6980,view,33735,
1430622729297,43891,view,21498,
1430622730320,205254,view,9485,
1430622733205,50329,view,20515,
1430622739166,157355,view,45179,
1430622741041,88071,view,13931,
1430622741433,8504,view,43201,
1430622743861,200407,view,22560,
1430622745236,203441,view,34216,
1430622747134,101010,view,23541,
1430622749991,57075,view,4588,
1430622751306,55682,view,1955,
1430622756884,130202,view,42078,
1430622757432,85075,view,2989,
1430622758559,144658,view,2607,
1430622781822,36213,view,32708,
1430622785794,169930,view,39062,
1430622790487,74556,view,37283,
1430622790814,140761,view,49153,
1430622794336,123472,view,25797,
1430622795127,130183,view,30285,
1430622797334,189810,view,12696,
1430622804062,43891,view,46432,
1430622805515,14582,view,9193,
1430622806371,108265,view,11762,
1430622815967,172289,view,40859,
1430622827770,51459,view,22591,
1430622840179,70578,view,43147,
1430622843545,140761,view,32179,
1430622844346,74556,view,25480,
1430622846246,147009,view,21181,
1430622847540,14553,view,14314,
1430622852138,31773,view,17607,
1430622858035,182696,view,29609,
1430622862377,31773,view,17607,
1430622862629,204581,view,10204,
1430622868442,121079,view,28753,
1430622872999,45299,view,17366,
1430622874521,105523,view,36263,
1430622876445,61462,view,19016,
1430622883412,181774,view,30209,
1430622883503,105833,view,32870,
1430622886706,43891,view,9772,
1430622888730,74556,view,29875,
1430622891645,71384,view,17607,
1430622894495,180732,view,21388,
1430622897959,76406,view,29436,
1430622898144,18680,view,41287,
1430622900037,14097,view,31856,
1430622901664,75293,view,38493,
1430622902227,11884,view,41170,
1430622903281,192997,view,42904,
1430622910848,200524,view,32587,
1430622912969,74556,addtocart,29875,
1430622917481,177362,view,8877,
